Lp.;NieruchomoúÊ;Numer;Zmiana od;Liczba mieszkaÒcÛw;Stawka
4736;63-300 PLESZEW, RokutÛw 30;957/2022;2022.07.01;1;38
4737;63-300 Pleszew, RokutÛw 31;;2019.02.01;4;156
4738;63-300 PLESZEW, RokutÛw 33;679/2022;2022.05.01;3;114
4739;63-300 Pleszew, RokutÛw 34;1097/2025;2025.04.01;4;152
4740;63-300 PLESZEW, RokutÛw 35;911/2025;2025.03.01;7;273
4741;63-300 PLESZEW, RokutÛw 36;;2020.01.01;2;78
4742;63-300 Pleszew, RokutÛw 36A;;2019.02.01;5;195
4743;63-300 PLESZEW, RokutÛw 37;329/2021;2021.02.01;4;152
4744;63-300 PLESZEW, RokutÛw 38;826/2025;2025.02.01;6;228
4745;63-300 PLESZEW, RokutÛw 39;2149/2020;2020.08.01;5;190
4746;63-300 Pleszew, RokutÛw 40;32/2025;2025.01.01;6;228
4747;63-300 PLESZEW, RokutÛw 43;;2019.02.01;3;117
4748;63-300 PLESZEW, RokutÛw 45;137/2026;2026.01.01;3;114
4749;63-300 PLESZEW, RokutÛw 46;871/2023;2023.07.01;5;190
4750;63-300 PLESZEW, RokutÛw 47;61/2023;2023.01.01;4;156
4751;63-300 PLESZEW, RokutÛw 48;410/2024;2024.03.01;2;78
4752;63-300 PLESZEW, RokutÛw 49;538/2021;2021.03.01;1;38
4753;63-300 PLESZEW, RokutÛw 49A;;2019.02.01;5;195
4754;63-300 PLESZEW, RokutÛw 50;1397/2024;2024.11.01;3;114
4755;63-300 Pleszew, RokutÛw 51;1347/2024;2024.11.01;4;156
4756;63-300 Pleszew, RokutÛw 51A;2705/2020;2020.08.01;2;76
4757;63-300 Pleszew, RokutÛw 52;520/2021;2020.08.01;7;273
4758;63-300 PLESZEW, RokutÛw 53;1076/2025;2025.03.01;5;195
4759;63-300 PLESZEW, RokutÛw 54;469/2023;2023.01.01;4;156
4760;63-300 Pleszew, RokutÛw 55;1442/2025;2025.06.01;3;117
4761;63-300 PLESZEW, RokutÛw 56;;2019.02.01;5;195
4762;63-300 PLESZEW, RokutÛw 57;;2019.02.01;1;39
4763;63-300 PLESZEW, RokutÛw 58;1679/2023;2023.08.01;2;78
4764;63-300 PLESZEW, RokutÛw 60;1721/2023;2023.12.01;1;39
4765;63-300 PLESZEW, RokutÛw 60A;;2019.02.01;4;156
4766;63-300 PLESZEW, RokutÛw 61;3420/2020;2020.11.01;6;228
4767;63-300 PLESZEW, RokutÛw 62;915/2022;2022.05.01;2;76
4768;63-300 Pleszew, RokutÛw 63;;2019.02.01;6;234
4769;63-300 PLESZEW, RokutÛw 64;2316/2025;2026.01.01;4;152
4770;63-300 PLESZEW, RokutÛw 66;3493/2020;2020.11.01;4;152
4771;63-300 PLESZEW, RokutÛw 68;3553/2020;2020.11.01;6;228
4772;63-300 PLESZEW, RokutÛw 69;874/2024;2024.07.01;2;78
4773;63-300 PLESZEW, Sowina 1;2734/2020;2020.09.01;4;152
4774;63-300 Pleszew, Sowina 2;;2019.02.01;2;78
4775;63-300 PLESZEW, Sowina 3;2009/2025;2025.11.01;8;304
4776;63-300 PLESZEW, Sowina 4;;2019.02.01;1;39
4777;63-300 PLESZEW, Sowina 5A;;2019.02.01;3;117
4778;63-300 PLESZEW, Sowina 6;1324/2025;2025.05.01;2;76
4779;63-300 PLESZEW, Sowina 9;;2019.02.01;1;39
4780;63-300 Pleszew, Sowina 10;611/2024;2024.05.01;3;117
4781;63-300 PLESZEW, Sowina 11;;2019.02.01;2;78
4782;63-300 Pleszew, Sowina 11A;;2019.02.01;3;117
4783;63-300 PLESZEW, Sowina 11B;1360/2022;2022.09.01;2;78
4784;63-300 PLESZEW, Sowina 11D;;2019.02.01;4;156
4785;63-300 PLESZEW, Sowina 11F;65/2025;2025.01.01;1;39
4786;63-300 PLESZEW, Sowina 12;1583/2023;2023.09.01;2;78
4787;63-300 PLESZEW, Sowina 13;340/2023;2023.02.01;1;39
4788;63-300 PLESZEW, Sowina 13A;;2019.05.01;3;117
4789;63-300 PLESZEW, Sowina 13A;2110/2025;2025.12.01;1;39
4790;63-300 Pleszew, Sowina 14;;2020.01.01;6;234
4791;63-300 Pleszew, Sowina 14A;;2019.02.01;4;156
4792;63-300 PLESZEW, Sowina 15;49/2022;2021.12.01;2;76
4793;63-300 Pleszew, Sowina 17;;2019.02.01;6;234
4794;63-300 Pleszew, Sowina 18;1078/2025;2025.04.01;2;78
4795;63-300 PLESZEW, Sowina 18A;1616/2020;2020.08.01;3;117
4796;63-300 PLESZEW, Sowina 18C;616/2024;2024.05.01;3;117
4797;63-300 Pleszew, Sowina 19;1597/2021;2021.11.01;3;117
4798;63-300 Pleszew, Sowina 19A;1917/2021;2022.01.01;6;228
4799;63-300 PLESZEW, Sowina 19B;;2020.02.01;6;234
4800;63-300 PLESZEW, Sowina 20;26/2025;2025.01.01;4;156
4801;63-300 PLESZEW, Sowina 20A;;2019.02.01;5;195
4802;63-300 PLESZEW, Sowina 21;1060/2024;2024.08.01;11;429
4803;63-300 Pleszew, Sowina 21A;3382/2020;2020.11.01;4;156
4804;63-300 Pleszew, Sowina 22;;2019.02.01;2;78
4805;63-300 PLESZEW, Sowina 22/2;;2019.02.01;3;117
4806;63-300 PLESZEW, Sowina 22/4;1220/2025;2025.04.01;3;117
4807;63-300 PLESZEW, Sowina 22A;;2019.06.01;4;156
4808;63-300 PLESZEW, Sowina 22B;;2019.10.01;3;117
4809;63-300 PLESZEW, Sowina 23;1246/2023;2023.08.01;6;228
4810;63-300 PLESZEW, Sowina 23A;714/2023;2023.04.01;5;195
4811;63-300 PLESZEW, Sowina 24;1138/2024;2024.08.01;3;117
4812;63-300 PLESZEW, Sowina 24A;1530/2022;2022.10.01;5;195
4813;63-300 Pleszew, Sowina 24b;;2019.02.01;4;156
4814;63-300 PLESZEW, Sowina 25/1;1489/2021;2021.10.01;5;190
4815;63-300 Pleszew, Sowina 25/2;;2019.02.01;1;39
4816;63-300 Pleszew, Sowina 25A;451/2024;2024.03.01;8;312
4817;63-300 Pleszew, Sowina 26;1026/2025;2025.02.01;4;156
4818;63-300 Pleszew, Sowina 26A;1568/2022;2022.11.01;3;117
4819;63-300 PLESZEW, Sowina 27;1007/2023;2023.07.01;7;273
4820;63-300 PLESZEW, Sowina 28;2076/2025;2025.12.01;6;234
4821;63-300 PLESZEW, Sowina 29;1735/2025;2025.01.01;3;117
4822;63-300 PLESZEW, Sowina 30;944/2022;2022.07.01;3;114
4823;63-300 PLESZEW, Sowina 30A;;2019.02.01;4;156
4824;63-300 PLESZEW, Sowina 31;892/2024;2024.08.01;5;190
4825;63-300 Pleszew, Sowina 32;2033/2020;2020.08.01;1;38
4826;63-300 PLESZEW, Sowina 33;111/2026;2026.01.01;5;190
4827;63-300 PLESZEW, Sowina 34;;2019.02.01;6;234
4828;63-300 PLESZEW, Sowina 35;440/2024;2024.04.01;5;195
4829;63-300 PLESZEW, Sowina B≥otna 1A;;2020.01.01;2;78
4830;63-300 PLESZEW, Sowina B≥otna 1C;2014/2022;2023.01.01;5;190
4831;63-300 PLESZEW, Sowina B≥otna 1D;410/2022;2022.02.01;1;39
4832;63-300 Pleszew, Sowina B≥otna 2;;2019.02.01;6;234
4833;63-300 Pleszew, Sowina B≥otna 3;1948/2020;2020.08.01;2;76
4834;63-300 PLESZEW, Sowina B≥otna 3A;1546/2024;2025.01.01;2;78
4835;63-300 PLESZEW, Sowina B≥otna 4;;2019.02.01;3;117
4836;63-300 Pleszew, Sowina B≥otna 5;1888/2025;2025.10.01;5;190
4837;63-300 Pleszew, Sowina B≥otna 6;;2019.02.01;3;117
4838;63-300 Pleszew, Sowina B≥otna 7;638/2024;2024.05.01;1;39
4839;63-300 PLESZEW, Sowina B≥otna 7A;1119/2025;2025.04.01;5;195
4840;63-300 PLESZEW, Sowina B≥otna 8;3033/2020;2020.10.01;7;273
4841;63-300 PLESZEW, Sowina B≥otna 8A;386/2025;2025.01.01;2;76
4842;63-300 PLESZEW, Sowina B≥otna 8B;1721/2022;2022.11.01;2;78
4843;63-300 Pleszew, Sowina B≥otna 9;150/2025;2025.01.01;3;114
4844;63-300 Pleszew, Sowina B≥otna 10;1722/2022;2022.11.01;7;273
4845;63-300 Pleszew, Sowina B≥otna 10A;1504/2025;2025.06.01;3;117
4846;63-300 Pleszew, Sowina B≥otna 11A;1481/2021;2021.09.01;6;234
4847;63-300 PLESZEW, Sowina B≥otna 12;1131/2023;2023.08.01;1;38
4848;63-300 Pleszew, Sowina B≥otna 13;;2019.04.01;3;117
4849;63-300 Pleszew, Sowina B≥otna 14;71/2021;2021.01.01;4;152
4850;63-300 PLESZEW, Sowina B≥otna 15;1635/2021;2021.10.01;4;156
4851;63-300 PLESZEW, Sowina B≥otna 16;;2020.03.01;1;39
4852;63-300 Pleszew, Sowina B≥otna 17;2716/2020;2020.09.01;4;152
4853;63-300 Pleszew, Sowina B≥otna 17A;;2019.02.01;5;195
4854;63-300 Pleszew, Sowina B≥otna 18;;2019.02.01;3;117
4855;63-300 PLESZEW, Sowina B≥otna 19;802/2025;2025.01.01;4;156
4856;63-300 PLESZEW, Sowina B≥otna 20;938/2024;2024.08.01;1;38
4857;63-300 Pleszew, Sowina B≥otna 21;402/2022;2022.02.01;1;39
4858;63-300 PLESZEW, Sowina B≥otna 22;1118/2023;2023.06.01;3;114
4859;63-300 Pleszew, Sowina B≥otna 23;514/2024;2024.04.01;3;117
4860;63-300 Pleszew, Sowina B≥otna 24;2063/2022;2023.01.01;4;152
4861;63-300 Pleszew, Sowina B≥otna 25;172/2024;2024.01.01;7;266
4862;63-300 PLESZEW, Sowina B≥otna 25A;349/2024;2024.04.01;4;152
4863;63-300 Pleszew, Sowina B≥otna 27;2198/2020;2020.08.01;4;152
4864;63-300 Pleszew, Sowina B≥otna 28;2091/2025;2025.12.01;4;152
4865;63-300 PLESZEW, Sowina B≥otna 29;2199/2020;2020.08.01;1;38
4866;63-300 PLESZEW, Sowina B≥otna 30B;2258/2025;2025.12.01;9;351
4867;63-300 Pleszew, Sowina B≥otna 31;1500/2023;2023.10.01;2;78
4868;63-300 PLESZEW, Sowina B≥otna 31A;1524/2023;2023.11.01;5;195
4869;63-300 Pleszew, Sowina B≥otna 32;1274/2025;2025.04.01;3;117
4870;63-300 Pleszew, Sowina B≥otna 34;907/2022;2022.06.01;3;117
4871;63-300 Pleszew, Sowina B≥otna 35;3141/2020;2020.10.01;4;152
4872;63-300 PLESZEW, Sowina B≥otna 35A;;2019.02.01;3;117
4873;63-300 Pleszew, Sowina B≥otna 37;2249/2025;2026.01.01;2;78
4874;63-300 Pleszew, Sowina B≥otna 38;;2019.02.01;3;117
4875;63-300 Pleszew, Sowina B≥otna 39;1222/2024;2024.10.01;4;152
4876;63-300 Pleszew, Sowina B≥otna 40;955/2022;2022.08.01;5;195
4877;63-300 Pleszew, Sowina B≥otna 41;2839/2020;2020.08.01;2;76
4878;63-300 PLESZEW, Sowina B≥otna 42;680/2025;2025.01.01;2;78
4879;63-300 Pleszew, Sowina B≥otna 43;1123/2025;2025.04.01;3;117
4880;63-300 Pleszew, Sowina B≥otna 44;598/2023;2023.03.01;1;39
4881;63-300 Pleszew, Sowina B≥otna 45;2089/2020;2020.08.01;3;114
4882;63-300 Pleszew, Sowina B≥otna 46;;2019.02.01;3;117
4883;63-300 Pleszew, Sowina B≥otna 47;;2019.02.01;2;78
4884;63-300 PLESZEW, Sowina B≥otna 48;;2019.10.01;2;78
4885;63-300 PLESZEW, Sowina B≥otna 48A;;2019.02.01;3;117
4886;63-300 Pleszew, Sowina B≥otna 49;1534/2024;2025.01.01;2;78
4887;63-300 Pleszew, Sowina B≥otna 50;3265/2020;2020.10.01;4;152
4888;63-300 PLESZEW, Sowina B≥otna 51;1170/2021;2021.07.01;6;228
4889;63-300 Pleszew, Sowina B≥otna 52;1326/2024;2024.10.01;4;156
4890;63-300 Pleszew, Sowina B≥otna 53;;2020.04.01;5;195
4891;63-300 PLESZEW, Sowina B≥otna 54;;2019.02.01;2;78
4892;63-300 Pleszew, Sowina B≥otna 55;1065/2025;2025.03.01;4;152
4893;63-300 PLESZEW, Sowina B≥otna 56;113/2023;2023.01.01;1;38
4894;63-300 PLESZEW, Sowina B≥otna 57;713/2024;2024.06.01;3;117
4895;63-300 Pleszew, Sowina B≥otna 58;2858/2020;2020.09.01;4;156
4896;63-300 PLESZEW, Sowina B≥otna 60;943/2025;2025.02.01;1;39
4897;63-300 Pleszew, Sowina B≥otna 61;1609/2021;2021.10.01;5;195
4898;63-300 PLESZEW, Sowina B≥otna 61A;45/2021;2020.12.01;2;78
4899;63-300 Pleszew, Sowina B≥otna 62;;2019.02.01;3;117
4900;63-300 Pleszew, Sowina B≥otna 63;;2019.02.01;1;39
4901;63-300 PLESZEW, Sowina B≥otna 64;;2019.02.01;2;78
4902;63-300 PLESZEW, Suchorzew, Fabianowska 10;1567/2021;2021.10.01;5;190
4903;63-300 PLESZEW, Suchorzew, Fabianowska 10a;;2019.02.01;4;156
4904;63-300 PLESZEW, Suchorzew, Fabianowska 11;241/2024;2024.02.01;4;156
4905;63-300 PLESZEW, Suchorzew, JarociÒska 2;89/2026;2026.01.01;1;39
4906;63-300 Pleszew, Suchorzew, JarociÒska 4;1799/2020;2020.08.01;5;190
4907;63-300 PLESZEW, Suchorzew, JarociÒska 6;474/2024;2024.05.01;3;117
4908;63-300 Pleszew, Suchorzew, JarociÒska 8;1036/2021;2021.07.01;3;117
4909;63-300 PLESZEW, Suchorzew, JarociÒska 8A;1035/2021;2021.07.01;3;117
4910;63-300 Pleszew, Suchorzew, JarociÒska 10;1579/2023;2023.12.01;6;234
4911;63-300 Suchorzew, JarociÒska 14;2555/2020;2020.09.01;2;76
4912;63-300 PLESZEW, Suchorzew, JarociÒska 16;2912/2020;2020.09.01;4;152
4913;63-300 PLESZEW, Suchorzew, JAROCI—SKA 18;1203/2024;2024.09.01;1;38
4914;63-300 PLESZEW, Suchorzew, JarociÒska 20;;2019.02.01;3;117
4915;63-300 PLESZEW, Suchorzew, JarociÒska 21;40/2023;2023.01.01;2;76
4916;63-300 Suchorzew, JarociÒska 22;;2019.02.01;2;78
4917;63-300 Pleszew, Suchorzew, JarociÒska 23;1704/2021;2021.11.01;7;266
4918;63-300 PLESZEW, Suchorzew, JarociÒska 24;2107/2025;2025.12.01;1;39
4919;63-300 PLESZEW, Suchorzew, JarociÒska 26;3442/2020;2020.11.01;6;228
4920;63-300 Pleszew, Suchorzew, JarociÒska 27;930/2024;2024.08.01;4;156
4921;63-300 Pleszew, Suchorzew, JarociÒska 28;;2019.03.01;3;117
4922;63-300 Pleszew, Suchorzew, JarociÒska 30;150/2022;2022.01.01;4;152
4923;63-300 PLESZEW, Suchorzew, JarociÒska 32;1374/2023;2023.10.01;2;78
4924;63-300 PLESZEW, Suchorzew, KOLEJOWA 5;414/2023;2023.03.01;2;78
4925;63-300 PLESZEW, Suchorzew, Kolejowa 7;;2019.02.01;3;117
4926;63-300 Suchorzew, Kowalewska 1;;2019.02.01;2;78
4927;63-300 Pleszew, Suchorzew, Kowalewska 5;1543/2025;2025.07.01;9;351
4928;63-300 PLESZEW, Suchorzew, Kowalewska 6;973/2024;2024.06.01;1;39
4929;63-300 Pleszew, Suchorzew, Kowalewska 8;3381/2020;2020.10.01;3;114
4930;63-300 Pleszew, Suchorzew, Kowalewska 9;1442/2024;2024.11.01;5;195
4931;63-300 Suchorzew, Kowalewska 10;2305/2020;2020.08.01;1;38
4932;63-300 Suchorzew, Kowalewska 11;1420/2023;2023.10.01;4;152
4933;63-300 Pleszew, Suchorzew, Kowalewska 12;115/2026;2026.01.01;7;273
4934;63-300 Pleszew, Suchorzew, Kowalewska 14;526/2023;2023.04.01;6;234
4935;63-300 PLESZEW, Suchorzew, KOWALEWSKA 14a;527/2023;2023.04.01;4;156
4936;63-300 PLESZEW, Suchorzew, KOWALEWSKA 16;1254/2025;2025.04.01;5;190
4937;63-300 PLESZEW, Suchorzew, Kowalewska 19;1555/2024;2025.01.01;3;114
4938;63-300 Pleszew, Suchorzew, Kowalewska 20;;2019.02.01;5;195
4939;63-300 Suchorzew, Kowalewska 21;2580/2020;2020.08.01;5;190
4940;63-300 PLESZEW, Suchorzew, Kowalewska 22;;2019.02.01;4;156
4941;63-300 Pleszew, Suchorzew, Kowalewska 24;1408/2021;2021.08.01;5;190
4942;63-300 Pleszew, Suchorzew, Kowalewska 25;3491/2020;2020.11.01;5;190
4943;63-300 Pleszew, Suchorzew, Kowalewska 26;23/2024;2024.01.01;1;38
4944;63-300 Pleszew, Suchorzew, Kowalewska 27;133/2026;2026.01.01;4;156
4945;63-300 PLESZEW, Suchorzew, Kowalewska 27A;117/2026;2026.01.01;3;117
4946;63-300 PLESZEW, Suchorzew, Kowalewska 28;;2019.12.01;4;156
4947;63-300 Pleszew, Suchorzew, Kowalewska 29;;2019.02.01;3;117
4948;63-300 Pleszew, Suchorzew, Kowalewska 30;1580/2025;2025.06.01;7;273
4949;63-300 Pleszew, Suchorzew, Kowalewska 31;;2020.02.01;4;156
4950;63-300 Pleszew, Suchorzew, Kowalewska 33;822/2021;2021.05.01;4;156
4951;63-300 Suchorzew, Kowalewska 33A;;2020.08.01;4;156
4952;63-300 Suchorzew, Kowalewska 34;;2019.02.01;3;117
4953;63-300 Suchorzew, Kowalewska 35;3729/2020;2020.11.01;6;228
4954;63-300 Pleszew, Suchorzew, Kowalewska 36;;2019.02.01;6;234
4955;63-300 PLESZEW, Suchorzew, Kowalewska 39;;2020.01.01;1;39
4956;63-300 Pleszew, Suchorzew, Kowalewska 42;3733/2020;2020.12.01;4;152
4957;63-300 PLESZEW, Suchorzew, KOWALEWSKA 50;2148/2025;2025.11.01;6;234
4958;63-300 PLESZEW, Suchorzew, Kowalewska 55;88/2026;2026.01.01;3;117
4959;63-300 PLESZEW, Suchorzew, Kowalewska 55A;1887/2025;2025.10.01;2;78
4960;63-300 PLESZEW, Suchorzew, Krawczykowo 5;3473/2020;2020.11.01;4;152
4961;63-300 PLESZEW, Suchorzew, Krawczykowo 6;;2019.08.01;3;117
4962;63-300 PLESZEW, Suchorzew, Krawczykowo 9;151/2023;2023.01.01;5;195
4963;63-300 Suchorzew, Krawczykowo 17;751/2024;2024.06.01;2;76
4964;63-300 Pleszew, Suchorzew, KrÛtka 4;;2019.02.01;2;78
4965;63-300 PLESZEW, Suchorzew, KrÛtka 4A;;2019.02.01;4;156
4966;63-300 PLESZEW, Suchorzew, Kwiatowa 1;3768/2020;2021.01.01;4;156
4967;63-300 Pleszew, Suchorzew, Kwiatowa 3;;2019.02.01;4;156
4968;63-300 PLESZEW, Suchorzew, Kwiatowa 6;3145/2020;2020.10.01;2;76
4969;63-300 PLESZEW, Suchorzew, Kwiatowa 11;;2019.02.01;2;78
4970;63-300 PLESZEW, Suchorzew, Kwiatowa 13;2847/2020;2020.10.01;4;156
4971;63-300 PLESZEW, Suchorzew, Kwiatowa 17;;2019.02.01;4;156
4972;63-300 PLESZEW, Suchorzew, Kwiatowa 19;1444/2024;2024.12.01;3;117
4973;63-300 Pleszew, Suchorzew, Leúna 1;676/2025;2025.01.01;2;76
4974;63-300 Pleszew, Suchorzew, Leúna 1A;1767/2021;2021.11.01;3;114
4975;63-300 PLESZEW, Suchorzew, Leúna 2;977/2021;2021.06.01;9;351
4976;63-300 PLESZEW, Suchorzew, Leúna 2A;;2019.02.01;3;117
4977;63-300 PLESZEW, Suchorzew, Leúna 12;918/2025;2025.03.01;6;234
4978;63-300 PLESZEW, Suchorzew, Leúna 15;1938/2025;2025.10.01;2;78
4979;63-300 PLESZEW, Suchorzew, Leúna 16;;2019.02.01;5;195
4980;63-300 Suchorzew, Lipowa 1;;2019.02.01;2;78
4981;63-300 PLESZEW, Suchorzew, Lipowa 3;;2019.02.01;3;117
4982;63-300 Suchorzew, Madera 1;;2020.01.01;3;117
4983;63-300 Suchorzew, Madera 2;972/2024;2024.08.01;4;156
4984;63-300 Suchorzew, Madera 3;;2019.02.01;1;39
4985;63-300 PLESZEW, Suchorzew, Madera 4;186/2026;2026.01.01;4;156
4986;63-300 Pleszew, Suchorzew, Madera 5;986/2025;2025.03.01;6;228
4987;63-300 PLESZEW, Suchorzew, Madera 7;7/2026;2026.01.01;4;156
4988;63-300 PLESZEW, Suchorzew, Madera 8;1719/2023;2024.01.01;3;117
4989;63-300 PLESZEW, Suchorzew, Madera 8B;197/2024;2024.01.01;3;117
4990;63-300 Suchorzew, Madera 9;;2019.02.01;3;117
4991;63-300 Suchorzew, Madera 10;;2019.02.01;3;117
4992;63-300 Pleszew, Suchorzew, Madera 10A;;2019.02.01;4;156
4993;63-300 Suchorzew, Madera 11;;2019.02.01;4;156
4994;63-300 PLESZEW, Suchorzew, Madera 13;881/2025;2025.02.01;2;78
4995;63-300 Suchorzew, Madera 17;478/2022;2022.04.01;2;78
4996;63-300 Suchorzew, Madera 19;;2019.06.01;3;117
4997;63-300 Suchorzew, Madera 20;;2019.02.01;1;39
4998;63-300 PLESZEW, Suchorzew, Madera 20A;884/2025;2025.03.01;2;78
4999;63-300 PLESZEW, Suchorzew, Madera 22;1559/2025;2025.07.01;1;39
5000;63-300 PLESZEW, Suchorzew, Madera 23;1204/2024;2024.10.01;4;152
5001;63-300 PLESZEW, Suchorzew, Madera 24;649/2023;2023.05.01;1;39
5002;63-300 Pleszew, Suchorzew, Madera 24B;129/2022;2022.01.01;4;156
5003;63-300 Suchorzew, Madera 26;1697/2025;2025.09.01;3;117
5004;63-300 PLESZEW, Suchorzew, Madera 30;;2019.02.01;4;156
5005;63-300 PLESZEW, Suchorzew, Madera 32;;2019.02.01;4;156
5006;63-300 PLESZEW, Suchorzew, Madera 34;45/2023;2023.01.01;3;117
5007;63-300 Pleszew, Suchorzew, Madera 36;38/2025;2025.01.01;1;39
5008;63-300 Pleszew, Suchorzew, Madera 38;;2019.02.01;4;156
5009;63-300 Pleszew, Suchorzew, Madera 40;2950/2020;2020.09.01;4;156
5010;63-300 Suchorzew, Madera 42;1159/2021;2021.08.01;4;156
5011;63-300 PLESZEW, Suchorzew, Osiedlowa 2A;1462/2025;2025.07.01;4;156
5012;63-300 PLESZEW, Suchorzew, Osiedlowa 3;;2019.06.01;3;117
5013;63-300 Pleszew, Suchorzew, Osiedlowa 3A;1483/2021;2021.06.01;4;156
5014;63-300 PLESZEW, Suchorzew, Osiedlowa 4;945/2021;2021.07.01;1;39
5015;63-300 PLESZEW, Suchorzew, Osiedlowa 5;2511/2020;2020.08.01;6;228
5016;63-300 Pleszew, Suchorzew, Osiedlowa 5A;2510/2020;2020.08.01;5;190
5017;63-300 PLESZEW, Suchorzew, Osiedlowa 7;669/2022;2021.05.01;2;76
5018;63-300 Suchorzew, Osiedlowa 8;2248/2020;2020.08.01;4;152
5019;63-300 Pleszew, Suchorzew, Osiedlowa 9;;2019.02.01;2;78
5020;63-300 Suchorzew, Osiedlowa 10;;2020.04.01;4;156
5021;63-300 Suchorzew, Osiedlowa 10A;;2019.02.01;4;156
5022;63-300 PLESZEW, Suchorzew, Osiedlowa 11;;2020.01.01;1;39
5023;63-300 Suchorzew, Osiedlowa 12;506/2021;2021.02.01;4;152
5024;63-300 Pleszew, Suchorzew, Osiedlowa 12A;;2019.02.01;4;156
5025;63-300 Pleszew, Suchorzew, Osiedlowa 12B;;2019.02.01;4;156
5026;63-300 PLESZEW, Suchorzew, Osiedlowa 13A;1894/2025;2025.10.01;25;975
5027;63-300 PLESZEW, Suchorzew, Osiedlowa 15;576/2024;2024.03.01;2;78
5028;63-300 PLESZEW, Suchorzew, Osiedlowa 16;;2019.03.01;4;156
5029;63-300 PLESZEW, Suchorzew, Osiedlowa 19;2652/2020;2020.08.01;4;156
5030;63-300 PLESZEW, Suchorzew, OSIEDLOWA 20;940/2024;2024.09.01;10;380
5031;63-300 PLESZEW, Suchorzew, Osiedlowa 21;2961/2020;2020.09.01;4;152
5032;63-300 Pleszew, Suchorzew, Osiedlowa 24;694/2024;2024.06.01;3;114
5033;63-300 PLESZEW, Suchorzew, Osiedlowa 25;2048/2020;2020.08.01;4;152
5034;63-300 PLESZEW, Suchorzew, Osiedlowa 28;118/2021;2020.12.01;5;195
5035;63-300 Pleszew, Suchorzew, Osiedlowa 36;329/2023;2023.02.01;4;152
5036;63-300 PLESZEW, Suchorzew, Osiedlowa 38;1251/2021;2021.08.01;4;156
5037;63-300 Pleszew, Suchorzew, Osiedlowa 40;1402/2024;2024.12.01;2;76
5038;63-300 PLESZEW, Suchorzew, PodgÛrna 2;1269/2025;2025.05.01;4;152
5039;63-300 PLESZEW, Suchorzew, PodgÛrna 5;1418/2024;2024.12.01;1;38
5040;63-300 PLESZEW, Suchorzew, PodgÛrna 6;3490/2020;2020.11.01;6;228
5041;63-300 PLESZEW, Suchorzew, PodgÛrna 7;;2019.02.01;2;78
5042;63-300 PLESZEW, Suchorzew, PodgÛrna 8;485/2024;2024.02.01;5;195
5043;63-300 Pleszew, Suchorzew, PodgÛrna 11;2371/2020;2020.08.01;2;76
5044;63-300 Pleszew, Suchorzew, PodgÛrna 12;1631/2021;2021.09.01;8;312
5045;63-300 PLESZEW, Suchorzew, PodgÛrna 14;1264/2024;2024.11.01;5;195
5046;63-300 Pleszew, Suchorzew, PodgÛrna 15;683/2021;2021.04.01;3;117
5047;63-300 PLESZEW, Suchorzew, PODG”RNA 17;1496/2022;2022.10.01;4;152
5048;63-300 PLESZEW, Suchorzew, PODG”RNA 17A;1303/2023;2023.10.01;5;195
5049;63-300 Pleszew, Suchorzew, PodgÛrna 18;2017/2022;2022.12.01;2;78
5050;63-300 Suchorzew, PodgÛrna 19;3241/2020;2020.11.01;3;117
5051;63-300 Pleszew, Suchorzew, PodgÛrna 22;1319/2023;2023.10.01;4;152
5052;63-300 PLESZEW, Suchorzew, PodgÛrna 24;1156/2022;2022.07.01;2;78
5053;63-300 Pleszew, Suchorzew, PodgÛrna 28;1957/2025;2025.10.01;8;304
5054;63-300 PLESZEW, Suchorzew, PodgÛrna 30;1132/2022;2022.07.01;4;152
5055;63-300 PLESZEW, Suchorzew, Pogodna 2;1497/2023;2023.11.01;4;156
5056;PLESZEW, Suchorzew, Pogodna 4;;2019.11.01;2;78
5057;63-300 PLESZEW, Suchorzew, Przylesie 2;1413/2025;2025.03.01;1;38
5058;63-300 Pleszew, Suchorzew, Przylesie 8;;2019.02.01;2;78
5059;63-300 PLESZEW, Suchorzew, Przylesie 10;1510/2025;2025.07.01;3;117
5060;63-300 PLESZEW, Suchorzew, Radosna 4;1523/2025;2025.08.01;3;117
5061;63-300 Pleszew, Suchorzew, RÛwna 4;93/2025;2025.01.01;5;190
5062;63-300 PLESZEW, Suchorzew, S≥oneczna 4;;2019.02.01;4;156
5063;PLESZEW, Suchorzew, S£ONECZNA 6;169/2025;2025.01.01;2;76
5064;63-300 PLESZEW, Suchorzew, S£ONECZNA 7/1;634/2024;2024.06.01;2;78
5065;63-300 PLESZEW, Suchorzew, S£ONECZNA 7/2;680/2024;2024.06.01;3;117
5066;63-300 Pleszew, Suchorzew, S≥oneczna 8;1939/2021;2022.01.01;5;190
5067;63-300 PLESZEW, Suchorzew, S≥oneczna 8A;694/2021;2021.04.01;4;156
5068;63-300 PLESZEW, Suchorzew, S≥oneczna 10;622/2024;2024.06.01;5;190
5069;63-300 PLESZEW, Suchorzew, S£ONECZNA 14a;2076/2022;2023.01.01;4;156
5070;63-300 Pleszew, Suchorzew, S≥oneczna 16;2828/2020;2020.09.01;6;228
5071;63-300 PLESZEW, Suchorzew, S≥oneczna 17;1503/2021;2021.09.01;4;156
5072;63-300 Pleszew, Suchorzew, S≥oneczna 20;;2019.02.01;6;234
